"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Project Management","User can copy project","0","0","1","0","0"
"","Project Management","User cannot create two projects with the same ID","0","0","1","0","0"
"","","","0","0","1","0","0"
"","Project Management","User cannot create two projects with the same name","0","0","1","0","0"
"","Project Management","User cannot create project without permission","0","0","2","0","0"
"","Project Management","User creates a project with parent project successfully","0","0","1","0","0"
"","Roles & Permissions","Project admin creates a build type successfully","0","0","1","0","0"
"","Project Management","Admin user cannot create project in another user's project area","0","0","1","0","0"
"","Project Management","User cannot create project with empty name","0","0","1","0","0"
"","Project Management","User can create project with empty ID","0","0","1","0","0"
"","Project Management","User creates a project type successfully","0","0","1","0","0"
"","Roles & Permissions","Project admin cannot create a build type for another user's project","0","0","1","0","0"
"","Build Type Management","User creates a build type successfully","0","0","1","0","0"
"","Build Type Management","User cannot create two build types with the same ID","0","0","1","0","0"
